ZIP_Code,Parish,Network_Name,Network_Code,State
71280,Richland,Richland Network,RI-042,LA
71282,Tensas,Tensas Network,TE-054,LA
71291,Richland,Richland Network,RI-042,LA
71292,Richland,Richland Network,RI-042,LA
71294,Richland,Richland Network,RI-042,LA
71295,Tensas,Tensas Network,TE-054,LA
71301,Rapides,Rapides Network,RA-040,LA
71302,Rapides,Rapides Network,RA-040,LA
71303,Rapides,Rapides Network,RA-040,LA
71316,Rapides,Rapides Network,RA-040,LA
71320,Catahoula,Catahoula Network,CT-013,LA
71322,Rapides,Rapides Network,RA-040,LA
71323,Concordia,Concordia Network,CO-015,LA
71326,Concordia,Concordia Network,CO-015,LA
71327,Catahoula,Catahoula Network,CT-013,LA
71328,Rapides,Rapides Network,RA-040,LA
71329,Concordia,Concordia Network,CO-015,LA
71331,Catahoula,Catahoula Network,CT-013,LA
71333,Catahoula,Catahoula Network,CT-013,LA
71334,Catahoula,Catahoula Network,CT-013,LA
71336,Catahoula,Catahoula Network,CT-013,LA
71339,Avoyelles,Avoyelles Network,AV-005,LA
71340,Catahoula,Catahoula Network,CT-013,LA
71341,Rapides,Rapides Network,RA-040,LA
71342,Concordia,Concordia Network,CO-015,LA
71343,Avoyelles,Avoyelles Network,AV-005,LA
71345,Catahoula,Catahoula Network,CT-013,LA
71346,Rapides,Rapides Network,RA-040,LA
71348,Concordia,Concordia Network,CO-015,LA
71350,Avoyelles,Avoyelles Network,AV-005,LA
71351,Rapides,Rapides Network,RA-040,LA
71352,Concordia,Concordia Network,CO-015,LA
71353,Avoyelles,Avoyelles Network,AV-005,LA
71354,Rapides,Rapides Network,RA-040,LA
71355,Avoyelles,Avoyelles Network,AV-005,LA
71356,Catahoula,Catahoula Network,CT-013,LA
71357,Rapides,Rapides Network,RA-040,LA
71358,Rapides,Rapides Network,RA-040,LA
71360,Rapides,Rapides Network,RA-040,LA
71362,Rapides,Rapides Network,RA-040,LA
71363,Rapides,Rapides Network,RA-040,LA
71366,Avoyelles,Avoyelles Network,AV-005,LA
71367,Concordia,Concordia Network,CO-015,LA
71368,Avoyelles,Avoyelles Network,AV-005,LA
71369,Avoyelles,Avoyelles Network,AV-005,LA
71371,Rapides,Rapides Network,RA-040,LA
71373,Avoyelles,Avoyelles Network,AV-005,LA
71375,Catahoula,Catahoula Network,CT-013,LA
71378,Concordia,Concordia Network,CO-015,LA
71401,Natchitoches,Natchitoches Network,NA-035,LA
71402,Natchitoches,Natchitoches Network,NA-035,LA
71403,Natchitoches,Natchitoches Network,NA-035,LA
71404,Sabine,Sabine Network,SA-043,LA
71405,Natchitoches,Natchitoches Network,NA-035,LA
71406,Grant,Grant Network,GR-022,LA
71407,Grant,Grant Network,GR-022,LA
71408,Sabine,Sabine Network,SA-043,LA
71409,La Salle,La Salle Network,LS-030,LA
71410,Natchitoches,Natchitoches Network,NA-035,LA
71411,Grant,Grant Network,GR-022,LA
71412,Natchitoches,Natchitoches Network,NA-035,LA
71413,Sabine,Sabine Network,SA-043,LA
71414,Grant,Grant Network,GR-022,LA
71415,Natchitoches,Natchitoches Network,NA-035,LA
71416,Natchitoches,Natchitoches Network,NA-035,LA
71417,Natchitoches,Natchitoches Network,NA-035,LA
71418,Grant,Grant Network,GR-022,LA
71419,Vernon,Vernon Network,VN-058,LA
71420,Sabine,Sabine Network,SA-043,LA
71421,Sabine,Sabine Network,SA-043,LA
71422,Vernon,Vernon Network,VN-058,LA
71423,Sabine,Sabine Network,SA-043,LA
71424,Vernon,Vernon Network,VN-058,LA
71425,Natchitoches,Natchitoches Network,NA-035,LA
71426,Natchitoches,Natchitoches Network,NA-035,LA
71427,Vernon,Vernon Network,VN-058,LA
71428,Sabine,Sabine Network,SA-043,LA
71429,La Salle,La Salle Network,LS-030,LA
71430,Natchitoches,Natchitoches Network,NA-035,LA
71431,Natchitoches,Natchitoches Network,NA-035,LA
71432,Caldwell,Caldwell Network,CD-011,LA
71433,Vernon,Vernon Network,VN-058,LA
71434,Natchitoches,Natchitoches Network,NA-035,LA
71435,Vernon,Vernon Network,VN-058,LA
71436,Sabine,Sabine Network,SA-043,LA
71437,Sabine,Sabine Network,SA-043,LA
71438,Vernon,Vernon Network,VN-058,LA
71439,La Salle,La Salle Network,LS-030,LA
71440,Natchitoches,Natchitoches Network,NA-035,LA
71441,Natchitoches,Natchitoches Network,NA-035,LA
71442,Sabine,Sabine Network,SA-043,LA
71443,Grant,Grant Network,GR-022,LA
71444,Sabine,Sabine Network,SA-043,LA
71446,Vernon,Vernon Network,VN-058,LA
71447,Vernon,Vernon Network,VN-058,LA
71448,Sabine,Sabine Network,SA-043,LA
71449,Vernon,Vernon Network,VN-058,LA
71450,La Salle,La Salle Network,LS-030,LA
71451,Sabine,Sabine Network,SA-043,LA
71452,Natchitoches,Natchitoches Network,NA-035,LA
71453,Sabine,Sabine Network,SA-043,LA
71454,Vernon,Vernon Network,VN-058,LA
71455,Natchitoches,Natchitoches Network,NA-035,LA
71456,La Salle,La Salle Network,LS-030,LA
71457,Natchitoches,Natchitoches Network,NA-035,LA
71458,Natchitoches,Natchitoches Network,NA-035,LA
71459,La Salle,La Salle Network,LS-030,LA
71460,Natchitoches,Natchitoches Network,NA-035,LA
71461,Vernon,Vernon Network,VN-058,LA
71462,Sabine,Sabine Network,SA-043,LA
71463,La Salle,La Salle Network,LS-030,LA
71465,La Salle,La Salle Network,LS-030,LA
71466,Sabine,Sabine Network,SA-043,LA
71467,Vernon,Vernon Network,VN-058,LA
71468,Natchitoches,Natchitoches Network,NA-035,LA
71469,La Salle,La Salle Network,LS-030,LA
71472,Vernon,Vernon Network,VN-058,LA
71473,La Salle,La Salle Network,LS-030,LA
71474,Sabine,Sabine Network,SA-043,LA
71475,La Salle,La Salle Network,LS-030,LA
71476,Sabine,Sabine Network,SA-043,LA
71477,Natchitoches,Natchitoches Network,NA-035,LA
71478,Sabine,Sabine Network,SA-043,LA
71479,La Salle,La Salle Network,LS-030,LA
71480,Natchitoches,Natchitoches Network,NA-035,LA
71481,Sabine,Sabine Network,SA-043,LA
71483,Winn,Winn Network,WI-064,LA
71484,Sabine,Sabine Network,SA-043,LA
71485,Natchitoches,Natchitoches Network,NA-035,LA
71486,Natchitoches,Natchitoches Network,NA-035,LA
